,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,en_Fuel,en_Transmission,en_Owner,en_Name
0,2010,72000,26,998,58,5,1.75,3,1,1,WagonR
1,2015,41000,19,1582,126,5,12.5,1,1,1,Creta
2,2011,46000,18,1199,88,5,4.5,2,1,1,Jazz
3,2012,87000,20,1248,88,7,6.0,1,1,1,Ertiga
4,2013,40670,15,1968,140,5,17.74,1,2,2,A4
5,2012,75000,21,814,55,5,2.35,4,1,1,EON
6,2013,86999,23,1461,63,5,3.5,1,1,1,Micra
7,2016,36000,11,2755,171,8,17.5,1,2,1,Innova
8,2013,64430,20,1598,103,5,5.2,1,1,1,Vento
9,2012,65932,22,1248,74,5,1.95,1,1,2,Indica
10,2018,25692,21,1462,103,5,9.95,2,1,1,Ciaz
11,2012,60000,16,1497,116,5,4.49,2,2,1,City
12,2015,64424,25,1248,74,5,5.6,1,1,1,Swift
13,2014,72000,12,2179,187,5,27.0,1,2,1,Rover
14,2012,85000,0,2179,115,5,17.5,1,2,2,Rover
15,2014,110000,13,2477,175,7,15.0,1,1,1,Pajero
16,2016,58950,25,1498,98,5,5.4,1,1,1,Amaze
17,2017,25000,28,1248,74,5,5.99,1,1,1,Swift
18,2014,77469,20,1461,83,5,6.34,1,1,1,Duster
19,2014,78500,14,2143,167,5,28.0,1,2,1,New
20,2014,32982,22,1995,190,5,18.55,1,2,1,3
21,2015,55392,23,1248,88,5,8.25,1,1,2,S
22,2015,55985,13,1984,177,5,23.5,2,2,1,A6
23,2010,45807,18,1197,80,5,1.87,2,1,1,i20
24,2010,33000,14,1598,103,5,2.85,2,2,1,Vento
25,2012,51920,16,1497,116,5,4.25,2,1,1,City
26,2012,54000,23,1461,63,5,4.25,1,1,1,Micra
27,2013,54000,20,998,67,5,2.75,2,1,2,Alto
28,2018,37430,17,1199,88,5,9.9,2,1,1,WRV
29,2007,262000,12,2494,102,7,4.0,1,1,4,Innova
30,2013,62000,19,1461,108,5,7.75,1,1,1,Duster
31,2012,87615,14,1798,138,5,6.75,2,1,1,Corolla
32,2013,72000,11,2696,184,7,12.5,1,2,2,Ssangyong
33,2010,35000,12,2698,179,5,11.5,1,2,1,A6
34,2014,55431,16,1598,103,5,6.98,2,1,2,Vento
35,2009,83816,14,1061,64,5,1.85,2,1,2,WagonR
36,2018,50075,24,1248,88,5,8.63,1,1,1,Vitara
37,2017,52000,18,1198,82,5,4.85,2,1,1,KUV
38,2013,85000,11,2987,254,5,28.0,1,2,1,M-Class
39,2013,62000,22,1199,73,5,5.0,1,1,1,Polo
40,2008,90000,19,796,46,5,1.25,2,1,2,Alto
41,2014,19698,25,624,37,4,1.53,2,1,1,Nano
42,2017,22033,25,1198,77,6,5.58,1,1,1,KUV
43,2014,35487,18,1197,82,5,4.74,2,1,1,i20
44,2014,46374,14,1999,149,5,8.85,2,2,1,Elantra
45,2016,52001,14,1798,138,5,10.11,2,2,1,Corolla
46,2008,58005,14,1991,112,5,4.25,1,1,2,Elantra
47,2012,70704,11,2694,163,7,10.95,2,1,1,Innova
48,2014,75000,24,1120,71,5,3.85,1,1,1,Xcent
49,2012,75800,16,2498,105,6,5.5,1,1,2,Thar
50,2015,13648,17,1968,174,5,21.43,1,2,1,A4
51,2014,52000,22,1248,74,5,4.25,1,1,1,Swift
52,2014,53000,17,1248,75,5,3.3,1,1,1,Swift
53,2013,65650,28,1248,74,5,3.85,1,1,1,Swift
54,2015,54000,18,1197,82,5,3.6,2,1,3,Grand
55,2015,39000,15,1598,103,5,3.99,2,1,1,Vento
56,2017,16542,25,799,53,5,3.3,2,1,1,KWID
57,2010,32000,20,1197,78,5,2.07,2,1,1,i10
58,2010,121812,13,1995,147,5,7.75,1,2,1,X-Trail
59,2010,39300,18,998,67,5,2.25,2,1,1,Zen
60,2017,22000,13,2393,147,8,16.5,1,1,1,Innova
61,2010,72000,20,1399,68,5,2.75,1,1,1,Figo
62,2015,58000,11,1796,186,5,26.7,2,2,1,New
63,2011,65000,15,2148,170,5,10.0,1,1,2,New
64,2016,178000,25,1396,69,5,2.5,1,1,1,Indica
65,2012,65664,16,1968,140,5,13.5,1,2,1,A4
66,2007,63000,16,1497,78,5,1.85,2,2,2,City
67,2019,15369,0,1950,194,5,35.67,1,2,1,C-Class
68,2016,63000,24,1248,88,7,8.15,1,1,1,Ertiga
69,2018,13000,22,1396,88,5,10.5,1,1,1,Creta
70,2008,73000,8,4806,500,5,14.5,2,2,1,Cayenne
71,2015,55729,15,2179,140,7,9.65,1,1,1,XUV500
72,2012,45178,16,1197,78,5,3.48,2,2,1,i10
73,2015,56066,19,1461,108,5,6.92,1,1,1,Terrano
74,2016,37300,16,1198,86,5,6.46,2,2,2,Brio
75,2014,56000,18,1968,187,5,29.5,1,2,2,A6
77,2006,230000,12,1998,132,8,4.5,2,1,3,Innova
78,2012,104000,12,2494,102,7,11.75,1,1,1,Innova
80,2012,95100,22,1248,74,5,3.75,1,1,1,Swift
81,2017,70000,17,1193,88,5,4.5,2,1,1,Zest
82,2016,54944,18,1198,86,5,4.82,2,1,1,Amaze
83,2012,70337,20,1399,68,5,2.8,1,1,1,Figo
84,2013,99638,23,1248,73,5,3.11,1,1,1,Ritz
85,2009,52000,17,1497,117,5,3.25,2,1,1,City
86,2011,75000,16,1995,218,5,13.9,1,2,2,5
87,2009,95980,20,1197,78,5,2.25,2,1,1,i10
88,2016,16000,18,1197,82,5,5.75,2,1,1,Grand
90,2016,18949,17,1198,86,5,5.0,2,1,1,Amaze
91,2014,107000,13,2982,168,7,16.5,1,1,1,Fortuner
92,2018,48367,17,1968,174,5,39.58,1,2,1,A6
93,2013,57000,22,1498,89,5,5.5,1,1,1,Ecosport
94,2014,58000,15,2179,140,7,8.1,1,1,1,XUV500
95,2015,30000,25,1498,98,5,3.5,1,1,1,Amaze
96,2013,34212,22,1199,73,5,2.79,1,1,1,Polo
97,2010,70002,16,1493,110,5,3.45,1,1,1,Verna
98,2016,62000,18,998,67,5,4.45,2,1,1,WagonR
99,2010,62001,15,1598,103,5,2.65,2,1,1,Polo
100,2011,78958,23,1396,90,5,3.8,1,1,2,i20
101,2014,30180,18,1197,82,5,4.65,2,1,1,i20
102,2017,32851,19,1198,67,7,3.95,2,1,1,GO
103,2010,30000,14,2967,241,5,9.8,1,2,1,A4
104,2009,66000,17,1197,80,5,2.7,2,1,2,i20
105,2010,93850,14,796,35,5,2.41,2,1,1,Omni
106,2014,53000,17,1197,78,5,3.9,2,1,1,Etios
107,2011,78000,14,2993,270,5,24.0,1,2,2,XF
108,2012,65000,16,2179,140,7,5.75,1,1,2,XUV500
109,2014,40000,22,1582,126,5,5.25,1,2,1,Verna
110,2017,30000,11,2755,171,7,19.25,1,2,1,Innova
111,2017,38053,15,1196,73,5,3.91,2,1,1,Eeco
112,2014,25500,25,624,37,4,2.15,2,1,1,Nano
113,2015,56087,22,1995,190,5,20.75,1,2,1,3
114,2010,71088,13,1799,130,5,3.35,2,1,1,Civic
115,2014,55000,12,2494,100,7,11.11,1,1,1,Innova
116,2014,32700,23,1984,150,5,20.0,1,2,1,V40
117,2016,39882,19,1198,75,5,6.55,2,2,1,Micra
118,2009,128000,10,2497,215,5,7.0,2,2,1,5
119,2016,55000,24,1248,88,5,7.5,1,1,1,Vitara
