Year,Kilometers_Driven,Mileage,Engine,Power,Seats,en_Fuel,en_Transmission,en_Owner,Name,Price
2010,72000,26,998,58,5,3,1,1,180,1.75
2015,41000,19,1582,126,5,1,1,1,51,12.5
2011,46000,18,1199,88,5,2,1,1,94,4.5
2012,87000,20,1248,88,7,1,1,1,66,6.0
2013,40670,15,1968,140,5,1,2,2,9,17.74
2012,75000,21,814,55,5,4,1,1,58,2.35
2013,86999,23,1461,63,5,1,1,1,107,3.5
2016,36000,11,2755,171,8,1,2,1,93,17.5
2013,64430,20,1598,103,5,1,1,1,172,5.2
2012,65932,22,1248,74,5,1,1,2,91,1.95
2018,25692,21,1462,103,5,2,1,1,41,9.95
2012,60000,16,1497,116,5,2,2,1,42,4.49
2015,64424,25,1248,74,5,1,1,1,160,5.6
2014,72000,12,2179,187,5,1,2,1,138,27.0
2012,85000,0,2179,115,5,1,2,2,138,17.5
2014,110000,13,2477,175,7,1,1,1,120,15.0
2016,58950,25,1498,98,5,1,1,1,16,5.4
2017,25000,28,1248,74,5,1,1,1,160,5.99
2014,77469,20,1461,83,5,1,1,1,55,6.34
2014,78500,14,2143,167,5,1,2,1,112,28.0
2014,32982,22,1995,190,5,1,2,1,1,18.55
2015,55392,23,1248,88,5,1,1,2,139,8.25
2015,55985,13,1984,177,5,2,2,1,10,23.5
2010,45807,18,1197,80,5,2,1,1,201,1.87
2010,33000,14,1598,103,5,2,2,1,172,2.85
2012,51920,16,1497,116,5,2,1,1,42,4.25
2012,54000,23,1461,63,5,1,1,1,107,4.25
2013,54000,20,998,67,5,2,1,2,15,2.75
2018,37430,17,1199,88,5,2,1,1,179,9.9
2007,262000,12,2494,102,7,1,1,4,93,4.0
2013,62000,19,1461,108,5,1,1,1,55,7.75
2012,87615,14,1798,138,5,2,1,1,49,6.75
2013,72000,11,2696,184,7,1,2,2,156,12.5
2010,35000,12,2698,179,5,1,2,1,10,11.5
2014,55431,16,1598,103,5,2,1,2,172,6.98
2009,83816,14,1061,64,5,2,1,2,180,1.85
2018,50075,24,1248,88,5,1,1,1,177,8.63
2017,52000,18,1198,82,5,2,1,1,96,4.85
2013,85000,11,2987,254,5,1,2,1,104,28.0
2013,62000,22,1199,73,5,1,1,1,124,5.0
2008,90000,19,796,46,5,2,1,2,15,1.25
2014,19698,25,624,37,4,2,1,1,111,1.53
2017,22033,25,1198,77,6,1,1,1,96,5.58
2014,35487,18,1197,82,5,2,1,1,201,4.74
2014,46374,14,1999,149,5,2,2,1,62,8.85
2016,52001,14,1798,138,5,2,2,1,49,10.11
2008,58005,14,1991,112,5,1,1,2,62,4.25
2012,70704,11,2694,163,7,2,1,1,93,10.95
2014,75000,24,1120,71,5,1,1,1,193,3.85
2012,75800,16,2498,105,6,1,1,2,166,5.5
2015,13648,17,1968,174,5,1,2,1,9,21.43
2014,52000,22,1248,74,5,1,1,1,160,4.25
2014,53000,17,1248,75,5,1,1,1,160,3.3
2013,65650,28,1248,74,5,1,1,1,160,3.85
2015,54000,18,1197,82,5,2,1,3,86,3.6
2015,39000,15,1598,103,5,2,1,1,172,3.99
2017,16542,25,799,53,5,2,1,1,97,3.3
2010,32000,20,1197,78,5,2,1,1,200,2.07
2010,121812,13,1995,147,5,1,2,1,181,7.75
2010,39300,18,998,67,5,2,1,1,198,2.25
2017,22000,13,2393,147,8,1,1,1,93,16.5
2010,72000,20,1399,68,5,1,1,1,73,2.75
2015,58000,11,1796,186,5,2,2,1,112,26.7
2011,65000,15,2148,170,5,1,1,2,112,10.0
2016,178000,25,1396,69,5,1,1,1,91,2.5
2012,65664,16,1968,140,5,1,2,1,9,13.5
2007,63000,16,1497,78,5,2,2,2,42,1.85
2019,15369,0,1950,194,5,1,2,1,31,35.67
2016,63000,24,1248,88,7,1,1,1,66,8.15
2018,13000,22,1396,88,5,1,1,1,51,10.5
2008,73000,8,4806,500,5,2,2,1,38,14.5
2015,55729,15,2179,140,7,1,1,1,192,9.65
2012,45178,16,1197,78,5,2,2,1,200,3.48
2015,56066,19,1461,108,5,1,1,1,165,6.92
2016,37300,16,1198,86,5,2,2,2,30,6.46
2014,56000,18,1968,187,5,1,2,2,10,29.5
2006,230000,12,1998,132,8,2,1,3,93,4.5
2012,104000,12,2494,102,7,1,1,1,93,11.75
2012,95100,22,1248,74,5,1,1,1,160,3.75
2017,70000,17,1193,88,5,2,1,1,199,4.5
2016,54944,18,1198,86,5,2,1,1,16,4.82
2012,70337,20,1399,68,5,1,1,1,73,2.8
2013,99638,23,1248,73,5,1,1,1,137,3.11
2009,52000,17,1497,117,5,2,1,1,42,3.25
2011,75000,16,1995,218,5,1,2,2,2,13.9
2009,95980,20,1197,78,5,2,1,1,200,2.25
2016,16000,18,1197,82,5,2,1,1,86,5.75
2016,18949,17,1198,86,5,2,1,1,16,5.0
2014,107000,13,2982,168,7,1,1,1,75,16.5
2018,48367,17,1968,174,5,1,2,1,10,39.58
2013,57000,22,1498,89,5,1,1,1,60,5.5
2014,58000,15,2179,140,7,1,1,1,192,8.1
2015,30000,25,1498,98,5,1,1,1,16,3.5
2013,34212,22,1199,73,5,1,1,1,124,2.79
2010,70002,16,1493,110,5,1,1,1,175,3.45
2016,62000,18,998,67,5,2,1,1,180,4.45
2010,62001,15,1598,103,5,2,1,1,124,2.65
2011,78958,23,1396,90,5,1,1,2,201,3.8
2014,30180,18,1197,82,5,2,1,1,201,4.65
2017,32851,19,1198,67,7,2,1,1,83,3.95
2010,30000,14,2967,241,5,1,2,1,9,9.8
2009,66000,17,1197,80,5,2,1,2,201,2.7
2010,93850,14,796,35,5,2,1,1,116,2.41
2014,53000,17,1197,78,5,2,1,1,68,3.9
2011,78000,14,2993,270,5,1,2,2,189,24.0
2012,65000,16,2179,140,7,1,1,2,192,5.75
2014,40000,22,1582,126,5,1,2,1,175,5.25
2017,30000,11,2755,171,7,1,2,1,93,19.25
2017,38053,15,1196,73,5,2,1,1,61,3.91
2014,25500,25,624,37,4,2,1,1,111,2.15
2015,56087,22,1995,190,5,1,2,1,1,20.75
2010,71088,13,1799,130,5,2,1,1,43,3.35
2014,55000,12,2494,100,7,1,1,1,93,11.11
2014,32700,23,1984,150,5,1,2,1,171,20.0
2016,39882,19,1198,75,5,2,2,1,107,6.55
2009,128000,10,2497,215,5,2,2,1,2,7.0
2016,55000,24,1248,88,5,1,1,1,177,7.5
2014,53753,15,2143,107,5,1,2,2,21,16.75
2018,10250,22,1582,126,5,1,1,1,175,10.95
2011,43874,18,998,67,5,2,1,1,180,2.45
2017,32684,21,624,37,4,2,2,1,111,3.23
2014,42000,12,2179,120,8,1,1,1,153,7.75
2009,28352,11,1796,178,5,2,2,1,112,9.35
2013,89900,26,998,58,5,3,1,1,180,3.25
2007,47700,10,2354,152,5,2,1,2,34,5.25
2015,55000,21,1498,103,5,1,2,1,172,7.25
